,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
75308,70494,74,6,74,0,24,1,9992,38,1,1,0.6700532193711458,4,0,29,1,71,1,-1.6219853260386474,16521.88600577,0
75309,70495,74,6,39,1,24,0,4,74,0,0,0.6700879337489603,4,1,39,2,74,0,-1.608439305268112,424142.0994669315,1
75310,70495,74,6,39,1,24,0,4,74,0,0,0.6700879337489603,4,1,39,2,74,0,-1.6219853260386474,81899.39856413922,1
75313,70498,74,4,27,1,22,0,9992,74,0,1,0.6701920768824033,4,0,73,3,29,3,-1.4323410352511525,6778.635768898524,0
75315,70500,74,1,74,0,17,4,9992,74,0,0,0.670261505638032,4,1,74,0,74,0,-1.5407092014154353,11187.206506531424,0
75316,70501,74,6,31,1,18,1,9992,27,2,1,0.6702962200158463,4,0,51,3,62,1,-1.567801242956506,11319.872590245866,0
75317,70502,74,5,3,1,0,4,9992,74,0,0,0.6703309343936608,4,0,62,1,3,1,-1.6219853260386474,25943.45736443223,0
75319,70504,16,6,71,1,24,0,9992,74,0,1,0.6704003631492894,4,1,4,2,55,3,-1.567801242956506,29372.86420170291,0
75320,70505,4,7,62,1,15,1,9992,55,2,1,0.6704350775271039,4,0,74,0,74,0,-0.7279479551833143,4196.432811030767,0
75321,70505,4,7,62,1,15,1,9992,55,2,1,0.6704350775271039,4,0,74,0,74,0,-1.567801242956506,13672.053907699552,0
75322,70506,74,1,73,3,2,0,9992,74,0,1,0.6704697919049182,4,1,74,0,57,3,-1.5542552221859707,11543.2278874445,0
75325,70509,74,3,74,0,23,4,9992,36,3,0,0.6705739350383613,4,0,27,2,55,2,-1.5000711391038293,8946.948522020624,0
75326,70509,74,3,74,0,23,4,9992,36,3,0,0.6705739350383613,4,0,27,2,55,2,-1.5542552221859707,12367.744165119107,0
75329,70512,54,3,74,0,28,2,9992,74,0,1,0.6706780781718044,4,0,74,0,74,0,-1.3646109313984758,7864.120868984805,0
75330,70512,54,3,74,0,28,2,9992,74,0,1,0.6706780781718044,4,0,74,0,74,0,-1.4729790975627586,7504.960247528466,0
